"Carimbo de data/hora","Qual a sua idade?","Qual seu sexo?","Qual o seu estado civil?","Onde você mora?","Qual a sua profissão?","Qual a sua renda pessoal mensal aproximada em reais?","Quais são as principais dificuldades que você enfrenta ao estudar cálculo?","De uma escala de 1 à 5, qual o nível sua dificuldade em Cálculo:","Qual o seu curso?","Em qual ano do seu curso você está?","Você tem DP de Cálculo?","Qual assunto desperta a sua atenção?","Das opções abaixo, qual você considera a mais importante ao comprar uma aula particular?","Nível de profissionalização do professor","Qualidade dos textos base (livros usados)","Qualidade dos exercícios","Preço hora/aula","Localização (Online ou Presencial)","Estatística de pessoas que já passaram de ano por conta dessas aulas","Você gostou do nosso produto?","Você divulgaria o nosso produto aos seus amigos e/ou familiares?","Você compraria o nosso produto?","Quanto tempo você considera ideal para uma aula particular? (em horas)","Se o valor do produto for de R$50,00/hora de aula, você diria que:","Quanto você considera que seria um valor justo a pagar pelo nosso produto (apenas o número)?","Pelos custos de produção e comercialização calculados, teremos que comercializar esse produto por R$60,00. Por esse valor, você o compraria?"
"2023/04/04 2:54:34 PM GMT-3","20","Masculino","Solteiro(a)","Capital de SP","Estudante com Renda","1000","Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia de Computação","1º ano","Não","Lazer;Economia;Automóveis;Tecnologia","Preço Hora/Aula","Não relevante","Não relevante","Relevante","Relevante","Online","Não relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","100","Sim"
"2023/04/04 2:54:35 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","17000","Habilidade em aplicar conceitos matemáticos para situações práticas","1","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Tecnologia;Outros","Localização (Online ou presencial)","Não relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Não","Não","2","um bom valor e eu provavelmente compraria","40","Não"
"2023/04/04 3:02:37 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Tecnologia","Preço Hora/Aula","Não relevante","Não relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","1.5","um bom valor e eu provavelmente compraria","60","Sim"
"2023/04/04 3:02:44 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Automóveis;Tecnologia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Não relevante","Presencial","Não relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","60","Sim"
"2023/04/04 3:03:43 PM GMT-3","17","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","500","Compreensão geral dos conceitos matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Tecnologia","Exercícios","Relevante","Relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 3:03:59 PM GMT-3","17","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","4","Engenharia (Ciclo Básico)","1º ano","Não","Automóveis","Exercícios","Relevante","Relevante","Relevante","Relevante","Online","Não relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 3:04:37 PM GMT-3","20","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","0","Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Automóveis","Exercícios","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 3:05:27 PM GMT-3","20 ","Feminino","Solteiro(a)","Região do ABCD","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas","5","Engenharia de Produção","1º ano","Não","Lazer;Outros","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2 ","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 3:10:35 PM GMT-3","17","Masculino","Solteiro(a)","Região do ABCD","Desempregado","0","Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos","4","Engenharia (Ciclo Básico)","1º ano","Não","Política;Lazer;Esportes;Economia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2","é tão barato que é evidente que a qualidade não deve ser tão boa","50","Sim"
"2023/04/04 3:14:37 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","300","Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Política;Esportes;Automóveis","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50","Sim"
